transaction_id,zone,section,category,price,stock_level,units_sold,promotion,date
1,Kids,Accessories,Accessories,15.5,91,38,No,2025-05-02
2,Kids,Clothing,Tops,35.67,136,13,Yes,2025-05-11
3,Women,Clothing,Dresses,73.32,177,10,Yes,2025-10-04
4,Men,Sportswear,Sportswear,58.64,108,21,No,2025-06-19
5,Kids,Accessories,Footwear,110.67,70,16,No,2025-11-16
6,Men,Perfume,Perfume,71.6,154,13,Yes,2025-03-30
7,Women,Accessories,Footwear,67.42,72,6,No,2025-09-21
8,Kids,Clothing,Dresses,53.46,69,12,No,2025-02-23
9,Women,Accessories,Accessories,39.09,63,11,No,2025-09-27
10,Kids,Accessories,Accessories,12.65,59,30,No,2025-12-04
11,Kids,Clothing,Bottoms,44.27,143,17,Yes,2025-01-15
12,Men,Clothing,Outerwear,178.43,107,2,Yes,2025-03-04
13,Kids,Clothing,Outerwear,145.36,182,2,No,2025-08-19
14,Women,Clothing,Bottoms,64.52,91,16,No,2025-02-17
15,Kids,Clothing,Dresses,49.51,118,16,No,2025-02-04
16,Men,Perfume,Perfume,27.18,150,5,No,2025-09-12
17,Women,Perfume,Perfume,22.43,34,14,No,2025-06-28
18,Kids,Accessories,Accessories,24.26,115,13,No,2025-08-19
19,Men,Perfume,Perfume,65.33,55,17,Yes,2025-07-06
20,Kids,Accessories,Footwear,123.67,64,10,No,2025-04-18
21,Women,Accessories,Accessories,19.73,111,34,No,2025-08-13
22,Men,Clothing,Tops,34.22,135,22,No,2025-12-25
23,Women,Perfume,Perfume,45.04,184,5,Yes,2025-06-21
24,Kids,Clothing,Dresses,43.13,199,21,Yes,2025-02-21
25,Women,Perfume,Perfume,49.83,132,9,Yes,2025-03-22
26,Kids,Clothing,Dresses,60.16,73,9,No,2025-05-06
27,Women,Clothing,Bottoms,47.91,179,8,Yes,2025-07-03
28,Kids,Clothing,Tops,51.14,88,29,No,2025-08-28
29,Men,Clothing,Bottoms,50.33,112,7,No,2025-12-12
30,Kids,Clothing,Tops,30.69,71,18,No,2025-05-08
31,Kids,Accessories,Footwear,52.38,197,14,Yes,2025-09-09
32,Women,Clothing,Bottoms,51.19,21,5,Yes,2025-05-20
33,Men,Clothing,Bottoms,55.32,28,13,No,2025-10-31
34,Kids,Accessories,Footwear,76.41,180,24,Yes,2025-04-14
35,Women,Perfume,Perfume,42.34,118,22,Yes,2025-12-04
36,Women,Accessories,Accessories,29.56,188,13,No,2025-10-16
37,Women,Clothing,Bottoms,59.86,147,12,No,2025-05-08
38,Men,Sportswear,Sportswear,30.15,134,18,No,2025-08-18
39,Men,Perfume,Perfume,73.52,46,6,No,2025-04-07
40,Kids,Accessories,Accessories,15.86,80,25,Yes,2025-02-04
41,Men,Sportswear,Sportswear,34.74,177,18,No,2025-04-09
42,Men,Clothing,Bottoms,43.23,65,7,No,2025-04-26
43,Kids,Clothing,Outerwear,82.91,180,4,Yes,2025-10-08
44,Women,Perfume,Perfume,70.65,86,12,Yes,2025-04-24
45,Kids,Accessories,Accessories,14.2,174,19,No,2025-09-30
46,Men,Clothing,Tops,46.9,58,38,Yes,2025-01-26
47,Kids,Accessories,Accessories,28.35,79,35,Yes,2025-02-05
48,Men,Sportswear,Sportswear,60.75,163,18,No,2025-05-23
49,Women,Accessories,Footwear,92.05,105,23,No,2025-03-04
50,Women,Clothing,Dresses,65.45,105,21,Yes,2025-11-22
51,Kids,Accessories,Accessories,13.81,27,30,Yes,2025-04-18
52,Men,Perfume,Perfume,25.12,128,24,No,2025-12-21
53,Kids,Accessories,Footwear,51.95,133,14,No,2025-05-25
54,Kids,Clothing,Bottoms,59.76,109,9,Yes,2025-11-14
55,Kids,Clothing,Outerwear,142.62,148,11,No,2025-08-27
56,Women,Accessories,Footwear,104.31,136,5,No,2025-07-11
57,Kids,Clothing,Dresses,73.8,95,20,Yes,2025-03-27
58,Men,Clothing,Dresses,35.51,66,21,No,2025-07-23
59,Women,Accessories,Footwear,112.62,119,5,No,2025-12-23
60,Kids,Accessories,Footwear,125.42,119,6,Yes,2025-09-07
61,Kids,Accessories,Footwear,117.08,88,17,Yes,2025-10-07
62,Kids,Accessories,Accessories,36.02,179,36,No,2025-06-27
63,Kids,Accessories,Accessories,23.75,198,20,No,2025-11-19
64,Men,Clothing,Bottoms,66.21,63,17,Yes,2025-10-29
65,Women,Clothing,Tops,42.82,100,35,No,2025-03-31
